Gene	ModuleColor	kWithin
420	AFAP1L2	blue	5.72745635918155
421	AFF1	grey	1.27987015006182
422	AFF2	salmon	7.26447453012797
423	AFF3	black	1.06468457023766
424	AFF4	grey	3.43809880847296
425	AFG3L2	grey	2.1429673725411
426	AFMID	grey60	4.03032809077412
427	AFTPH	grey	4.0011693027381
428	AGA	darkorange	4.32416289130149
429	AGAP1	magenta	3.62540428391747
430	AGAP10	grey	1.68535695251781
431	AGAP2	green	12.264544269904
432	AGAP2-AS1	pink	1.90987027753614
433	AGAP3	darkgrey	4.7154404064711
434	AGAP4	grey60	1.4255089256203
435	AGAP5	grey	1.6527879995515
436	AGAP6	pink	1.22121360919525
437	AGAP7	grey	1.17428253412409
438	AGAP8	grey	1.66433813232521
439	AGAP9	grey	1.56433729288369
440	AGBL1	lightgreen	3.30865352898657
441	AGBL2	tan	10.7549241125784
442	AGBL3	turquoise	4.07480257355159
443	AGBL4	pink	7.2044341981551
444	AGBL5	grey	1.88502124911626
445	AGER	purple	1.56833605820429
446	AGFG1	grey	2.53120023892168
447	AGFG2	white	3.7843253739401
448	AGGF1	grey60	6.27748915584917
449	AGK	brown	8.61931655684956
450	AGL	grey60	3.2193504494892
451	AGMAT	purple	4.49153761463953
452	AGMO	lightcyan	2.99547227605629
453	AGO1	royalblue	2.94493009375176
454	AGO2	grey	1.28999274689881
455	AGO3	brown	5.32718297242855
456	AGO4	grey	3.41581640479912
457	AGPAT1	salmon	2.40218123039659
458	AGPAT2	grey	3.05949877854043
459	AGPAT3	white	9.42668308952088
460	AGPAT4	grey	3.78191454380444
461	AGPAT5	grey	2.15255650604689
462	AGPAT6	grey	2.80439153224038
463	AGPAT9	grey	1.92212211599224
464	AGPS	black	3.58547890190309
465	AGR3	tan	8.75058786279146
466	AGRN	green	4.86429823799171
467	AGRP	tan	6.05500674916489
468	AGT	blue	34.2003890191317
469	AGTPBP1	lightcyan	1.31785757038344
470	AGTR1	orange	0.464212905611554
471	AGTRAP	white	0.288748841632567
472	AHCTF1	yellow	23.3165713087032
473	AHCY	grey	2.55137025999979
474	AHCYL1	blue	8.72651109445082
475	AHCYL2	lightcyan	1.00888242803368
476	AHDC1	grey	2.72652764817025
477	AHI1	lightgreen	0.583294970429529
478	AHNAK	blue	19.0463893567605
479	AHNAK2	brown	2.71979095696743
480	AHR	red	1.31184254351249
481	AHRR	grey	3.70504767450832
482	AHSA1	brown	5.58294701907687
483	AHSA2	yellow	4.73223686742615
484	AIDA	grey	3.26210758328661
485	AIF1	darkgreen	2.15136662531863
486	AIF1L	cyan	0.49299792392055
487	AIFM1	greenyellow	4.18741629461387
488	AIFM2	midnightblue	0.898323652098702
489	AIFM3	blue	29.4014867572784
490	AIG1	lightcyan	3.99576605203799
491	AIM1	cyan	1.00618353747636
492	AIM2	turquoise	0.771335641239208
493	AIMP1	black	1.36961779370483
494	AIMP2	grey	3.65503264707303
495	AIP	blue	4.77385494984302
496	AIRE	grey	2.39760776829759
497	AJAP1	yellow	1.71903828546695
498	AK1	blue	4.67398941733947
499	AK2	turquoise	1.8550847875241
500	AK3	black	2.8033178163424
501	AK4	grey	2.82239591511206
502	AK5	lightgreen	4.15146188436877
503	AK7	grey	2.28877974088625
504	AK8	tan	4.16185709543503
505	AK9	grey	1.0730775191421
506	AKAP1	grey	1.57464773783236
507	AKAP10	tan	1.70732764193306
508	AKAP11	cyan	7.16313610982442
509	AKAP12	darkgreen	2.06392670249676
510	AKAP13	turquoise	9.62077122318066
511	AKAP14	tan	5.71457909465003
512	AKAP17A	magenta	4.06883863354054
513	AKAP3	grey	1.98976560031528
514	AKAP5	cyan	3.24335214952843
515	AKAP6	lightcyan	1.48478805217262
516	AKAP7	grey	1.53347533503144
517	AKAP8	magenta	2.81710323818152
518	AKAP8L	magenta	11.9278671218267
519	AKAP9	pink	1.63401137490563
520	AKIP1	grey	4.19315590583852
521	AKIRIN1	grey	2.46622477672256
522	AKIRIN2	grey	1.56638898959581
523	AKNA	turquoise	8.17138083591159
524	AKNAD1	midnightblue	5.8946782155762
525	AKR1A1	red	7.22461672171255
526	AKR1B1	blue	0.492111918297992
527	AKR1C1	turquoise	7.03189431992798
528	AKR1C2	grey	1.12932056568825
529	AKR1C3	grey	1.9292197995272
530	AKR1CL1	midnightblue	1.11606038922564
531	AKR1E2	midnightblue	4.24815634716276
532	AKR7A2	blue	15.7149990902848
533	AKR7A3	blue	2.05285780019269
534	AKT1	green	9.17641962711089
535	AKT1S1	purple	2.13859891676417
536	AKT2	magenta	6.89085527814066
537	AKT3	grey	1.98688861072137
538	AKTIP	grey60	3.69281328771555
539	AL020996.1	turquoise	5.13930757055771
540	AL021546.6	grey	1.48983448568711
541	AL031663.2	yellow	3.83536079358522
542	AL049829.1	turquoise	29.6870771390325
543	AL049840.1	yellow	2.17137139854704
544	AL078585.1	greenyellow	6.58355873298161
545	AL096677.1	grey	4.10579944942559
546	AL117190.3	lightgreen	0.532792784734395
547	AL133373.1	grey	1.20351277201888
548	AL136376.1	turquoise	7.96122293758694
549	AL162431.1	turquoise	34.8020475575279
550	AL353791.1	lightcyan	1.26753767530781
551	AL355490.1	purple	1.03330636322773
552	AL359091.2	grey	1.17880624328127
553	AL359878.1	grey	4.13090977533138
554	AL441883.1	turquoise	9.67244142599418
555	AL590452.1	greenyellow	4.03275110428922
556	AL590708.2	grey	0.93895030864359
557	AL590822.2	yellow	1.77914525678449
558	AL590867.1	white	2.29519296570911
559	AL591479.1	grey	1.75434266499266
560	AL592284.1	grey	1.54606476772188
561	AL627309.1	darkgreen	0.996607590644387
562	AL645728.1	grey	1.14973011641998
563	AL807752.1	grey	2.32835781905673
564	AL953854.2	grey	1.20801766808776
565	ALAD	grey	2.01804032958531
566	ALAS1	darkgreen	1.06151301909911
567	ALAS2	grey	5.61156820326971
568	ALB	grey	0.982595450610003
569	ALCAM	grey	2.08777255172308
570	ALDH16A1	grey	1.67974853604919
571	ALDH18A1	pink	5.58427462496225
572	ALDH1A1	blue	25.0150714984886
573	ALDH1A2	greenyellow	3.57191812449361
574	ALDH1A3	grey	2.55239106518383
575	ALDH1B1	grey	2.17992672165301
576	ALDH1L1	grey	3.16736575056875
577	ALDH1L2	grey	2.39813530192878
578	ALDH2	blue	27.3438980262689
579	ALDH3A1	yellow	1.67751362147877
580	ALDH3A2	grey	1.27125344309472
581	ALDH3B1	grey	1.39367365662117
582	ALDH5A1	grey60	1.89176457125612
583	ALDH6A1	blue	20.3086010443498
584	ALDH7A1	blue	17.8569853615837
585	ALDH8A1	black	4.99363560132339
586	ALDH9A1	blue	11.5350822739587
587	ALDOA	grey	2.96486134502311
588	ALDOB	black	2.83285504706687
589	ALG1	yellow	1.37050488209513
